Data;Histórico;Débito;Crédito;Histórico separado
16/01/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 29846 FOR.  PLASTICOS SUZUKI LTDA ;;5169.7;29846
02/05/2019;COMPRA DE MERCADORIA CONF. NF.  185550 FOR. RITTER ALIMENTOS SA ;;2048.8;185550
07/02/2019;COMPRA DE MERCADORIA CONF. NF.  12346 FOR. FOFEX INDUSTRIA DE PAPEIS  LTDA ;;3975.0;12346
31/03/2019;COMPRA DE MATERIAL PARA USO OU  CONSUMO CONF. NF. 10982 FOR. THERMO  PRINT ETIQUETAS E ROTULOS LTDA ;;4018.5;10982
11/01/2019;COMPRA DE MERCADORIA CONF. NF.  1860 FOR. ANTONIO DE OLIVEIRA  ANTUNES ;;300.0;1860
07/02/2019;COMPRA DE MERCADORIA CONF. NF.  7070 FOR. ANTONIO DE OLIVEIRA  ANTUNES ;;300.0;7070
28/02/2019;COMPRA DE MERCADORIA CONF. NF.  12269 FOR. ANTONIO DE OLIVEIRA  ANTUNES ;;300.0;12269
01/03/2019;COMPRA DE MERCADORIA CONF. NF.  12269 FOR. ANTONIO DE OLIVEIRA  ANTUNES ;;300.0;12269
31/03/2019;COMPRA DE MERCADORIA CONF. NF.  18750 FOR. ANTONIO DE OLIVEIRA  ANTUNES ;;300.0;18750
16/04/2019;COMPRA DE MERCADORIA CONF. NF.  23393 FOR. ANTONIO DE OLIVEIRA  ANTUNES ;;300.0;23393
15/05/2019;COMPRA DE MERCADORIA CONF. NF.  29138 FOR. ANTONIO DE OLIVEIRA  ANTUNES ;;300.0;29138
10/06/2019;COMPRA DE MERCADORIA CONF. NF.  38299 FOR. ANTONIO DE OLIVEIRA  ANTUNES ;;300.0;38299
30/01/2019;COMPRA DE MERCADORIA CONF. NF.  119814 FOR. PACHECO DIST. DE PERF E  UTIL. LTDA ;;1635.57;119814
30/01/2019;COMPRA DE MERCADORIA CONF. NF.  119814 FOR. PACHECO DIST. DE PERF E  UTIL. LTDA ;;413.28;119814
28/02/2019;COMPRA DE MERCADORIA CONF. NF.  120425 FOR. PACHECO DIST. DE PERF E  UTIL. LTDA ;;1249.85;120425
28/02/2019;COMPRA DE MERCADORIA CONF. NF.  120425 FOR. PACHECO DIST. DE PERF E  UTIL. LTDA ;;264.79;120425
03/04/2019;COMPRA DE MERCADORIA CONF. NF.  121395 FOR. PACHECO DIST. DE PERF E  UTIL. LTDA ;;3378.13;121395
03/04/2019;COMPRA DE MERCADORIA CONF. NF.  121395 FOR. PACHECO DIST. DE PERF E  UTIL. LTDA ;;55.32;121395
08/01/2019;COMPRA DE MERCADORIA CONF. NF. 673  FOR. ALZIRA JESSEGA FELIZ DUARTE ME ;;162.0;673
08/01/2019;COMPRA DE MERCADORIA CONF. NF. 676  FOR. ALZIRA JESSEGA FELIZ DUARTE ME ;;162.0;676
23/01/2019;COMPRA DE MERCADORIA CONF. NF. 689  FOR. ALZIRA JESSEGA FELIZ DUARTE ME ;;216.0;689
12/02/2019;COMPRA DE MERCADORIA CONF. NF. 705  FOR. ALZIRA JESSEGA FELIZ DUARTE ME ;;162.0;705
28/02/2019;COMPRA DE MERCADORIA CONF. NF. 714  FOR. ALZIRA JESSEGA FELIZ DUARTE ME ;;108.0;714
15/03/2019;COMPRA DE MERCADORIA CONF. NF. 723  FOR. ALZIRA JESSEGA FELIZ DUARTE ME ;;162.0;723
09/04/2019;COMPRA DE MERCADORIA CONF. NF. 740  FOR. ALZIRA JESSEGA FELIX DUARTE - ME ;;162.0;740
30/04/2019;COMPRA DE MERCADORIA CONF. NF. 761  FOR. ALZIRA JESSEGA FELIX DUARTE - ME ;;108.0;761
02/05/2019;COMPRA DE MERCADORIA CONF. NF. 765  FOR. ALZIRA JESSEGA FELIX DUARTE - ME ;;108.0;765
16/05/2019;COMPRA DE MERCADORIA CONF. NF. 780  FOR. ALZIRA JESSEGA FELIX DUARTE - ME ;;108.0;780
17/05/2019;COMPRA DE MERCADORIA CONF. NF. 772  FOR. ALZIRA JESSEGA FELIX DUARTE - ME ;;108.0;772
20/05/2019;COMPRA DE MERCADORIA CONF. NF. 783  FOR. ALZIRA JESSEGA FELIX DUARTE - ME ;;108.0;783
31/05/2019;COMPRA DE MERCADORIA CONF. NF. 789  FOR. ALZIRA JESSEGA FELIX DUARTE - ME ;;108.0;789
07/06/2019;COMPRA DE MERCADORIA CONF. NF. 794  FOR. ALZIRA JESSEGA FELIX DUARTE - ME ;;108.0;794
12/06/2019;COMPRA DE MERCADORIA CONF. NF. 805  FOR. ALZIRA JESSEGA FELIX DUARTE - ME ;;162.0;805
17/06/2019;COMPRA DE MERCADORIA CONF. NF. 802  FOR. ALZIRA JESSEGA FELIX DUARTE - ME ;;108.0;802
18/06/2019;COMPRA DE MERCADORIA CONF. NF. 806  FOR. ALZIRA JESSEGA FELIX DUARTE - ME ;;108.0;806
31/01/2019;COMPRA DE MERCADORIA CONF. NF.  115628 FOR. SOUZA DISTRIBUIDORA COM  E REP LTDA ;;1398.95;115628
31/01/2019;COMPRA DE MERCADORIA CONF. NF.  115628 FOR. SOUZA DISTRIBUIDORA COM  E REP LTDA ;;160.2;115628
28/02/2019;COMPRA DE MERCADORIA CONF. NF.  118934 FOR. SOUZA DISTRIBUIDORA COM  E REP LTDA ;;245.71;118934
