Data;Número;Histórico;Débito;Crédito
26/10/2018;913;COMPRA DE MERCADORIA CONF. NF.  92655 FOR. VITAFLOR IND. COMERCIO  MASSAS BEIJA FLOR LTDA. ;;1.456,88
27/11/2018;913;COMPRA DE MERCADORIA CONF. NF.  93577 FOR. VITAFLOR IND. COMERCIO  MASSAS BEIJA FLOR LTDA. ;;1.091,30
19/12/2018;913;COMPRA DE MERCADORIA CONF. NF.  94333 FOR. VITAFLOR IND. COMERCIO  MASSAS BEIJA FLOR LTDA. ;;871,93
21/02/2019;913;COMPRA DE MERCADORIA CONF. NF.  94890 FOR. VITAFLOR IND. COMERCIO  MASSAS BEIJA FLOR LTDA. ;;1.696,31
15/05/2019;913;COMPRA DE MERCADORIA CONF. NF.  96427 FOR. JUBERTO ZACARIAS DE  VASCONCELOS EIRELI ME ;;656,61
20/06/2019;913;COMPRA DE MERCADORIA CONF. NF.  97068 FOR. JUBERTO ZACARIAS DE  VASCONCELOS EIRELI ME ;;1.695,28
22/07/2019;913;COMPRA DE MERCADORIA CONF. NF.  97905 FOR. JUBERTO ZACARIAS DE  VASCONCELOS EIRELI ME ;;902,66
17/08/2019;913;COMPRA DE MERCADORIA CONF. NF.  98716 FOR. JUBERTO ZACARIAS DE  VASCONCELOS EIRELI ME ;;1.380,92
18/09/2019;913;COMPRA DE MERCADORIA CONF. NF.  99792 FOR. JUBERTO ZACARIAS DE  VASCONCELOS EIRELI ME ;;964,46
02/10/2018;914;COMPRA DE MERCADORIA CONF. NF.  385518 FOR. VALMIR CAVALCANTE  DANTAS ME ;;337,03
09/10/2018;914;COMPRA DE MERCADORIA CONF. NF.  387196 FOR. VALMIR CAVALCANTE  DANTAS ME ;;571,05
16/10/2018;914;COMPRA DE MERCADORIA CONF. NF.  388515 FOR. VALMIR CAVALCANTE  DANTAS ME ;;351,43
23/10/2018;914;COMPRA DE MERCADORIA CONF. NF.  390087 FOR. VALMIR CAVALCANTE  DANTAS ME ;;673,94
31/10/2018;914;COMPRA DE MERCADORIA CONF. NF.  391755 FOR. VALMIR CAVALCANTE  DANTAS ME ;;521,45
06/11/2018;914;COMPRA DE MERCADORIA CONF. NF.  392627 FOR. VALMIR CAVALCANTE  DANTAS ME ;;437,15
09/11/2018;914;COMPRA DE MERCADORIA CONF. NF.  393311 FOR. VALMIR CAVALCANTE  DANTAS ME ;;212,51
14/11/2018;914;COMPRA DE MERCADORIA CONF. NF.  394616 FOR. VALMIR CAVALCANTE  DANTAS ME ;;436,53
20/11/2018;914;COMPRA DE MERCADORIA CONF. NF.  395586 FOR. VALMIR CAVALCANTE  DANTAS ME ;;340,03
27/11/2018;914;COMPRA DE MERCADORIA CONF. NF.  396962 FOR. VALMIR CAVALCANTE  DANTAS ME ;;401,94
30/11/2018;914;COMPRA DE MERCADORIA CONF. NF.  397685 FOR. VALMIR CAVALCANTE  DANTAS ME ;;218,22
04/12/2018;914;COMPRA DE MERCADORIA CONF. NF.  398324 FOR. VALMIR CAVALCANTE  DANTAS ME ;;433,84
07/12/2018;914;COMPRA DE MERCADORIA CONF. NF.  399068 FOR. VALMIR CAVALCANTE  DANTAS ME ;;401,94
12/12/2018;914;COMPRA DE MERCADORIA CONF. NF.  399742 FOR. VALMIR CAVALCANTE  DANTAS ME ;;317,32
