Data;Número;Histórico;Débito;Tipo;Histórico separado
19/10/2018;913;PAGAMENTO DE DUPLICATA REF. NF Nº  91600 FOR. VITAFLOR IND. COMERCIO  MASSAS BEIJA FLOR LTDA. ;1348.85;1;91600
23/11/2018;913;PAGAMENTO DE DUPLICATA REF. NF Nº  92655 FOR. VITAFLOR IND. COMERCIO  MASSAS BEIJA FLOR LTDA. ;1456.88;1;92655
14/12/2018;913;PAGAMENTO DE DUPLICATA REF. NF Nº  93577 FOR. VITAFLOR IND. COMERCIO  MASSAS BEIJA FLOR LTDA. ;1091.3;1;93577
11/01/2019;913;PAGAMENTO DE DUPLICATA REF. NF Nº  94333 FOR. VITAFLOR IND. COMERCIO  MASSAS BEIJA FLOR LTDA. ;871.93;1;94333
22/03/2019;913;PAGAMENTO DE DUPLICATA REF. NF Nº  94890 FOR. VITAFLOR IND. COMERCIO  MASSAS BEIJA FLOR LTDA. ;1696.31;1;94890
14/06/2019;913;PAGAMENTO DE DUPLICATA REF. NF Nº  96427 FOR. JUBERTO ZACARIAS DE  VASCONCELOS EIRELI ME ;656.61;1;96427
19/07/2019;913;PAGAMENTO DE DUPLICATA REF. NF Nº  97068 FOR. JUBERTO ZACARIAS DE  VASCONCELOS EIRELI ME ;1695.28;1;97068
16/08/2019;913;PAGAMENTO DE DUPLICATA REF. NF Nº  97905 FOR. JUBERTO ZACARIAS DE  VASCONCELOS EIRELI ME ;902.66;1;97905
13/09/2019;913;PAGAMENTO DE DUPLICATA REF. NF Nº  98716 FOR. JUBERTO ZACARIAS DE  VASCONCELOS EIRELI ME ;1380.92;1;98716
18/10/2019;913;PAGAMENTO DE DUPLICATA REF. NF Nº  99792 FOR. JUBERTO ZACARIAS DE  VASCONCELOS EIRELI ME ;964.46;1;99792
01/10/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  378913 FOR. VALMIR CAVALCANTE  DANTAS ME ;680.0;1;378913
01/10/2018;914;DESCONTO OBTIDO CONF. NF Nº 378913  FOR. VALMIR CAVALCANTE DANTAS ME ;0.06;1;378913
15/10/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  381075 FOR. VALMIR CAVALCANTE  DANTAS ME ;537.75;1;381075
16/10/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  381717 FOR. VALMIR CAVALCANTE  DANTAS ME ;249.6;1;381717
16/10/2018;914;DESCONTO OBTIDO CONF. NF Nº 381717  FOR. VALMIR CAVALCANTE DANTAS ME ;0.02;1;381717
22/10/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  383040 FOR. VALMIR CAVALCANTE  DANTAS ME ;144.6;1;383040
22/10/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  382469 FOR. VALMIR CAVALCANTE  DANTAS ME ;373.1;1;382469
22/10/2018;914;DESCONTO OBTIDO CONF. NF Nº 382469  FOR. VALMIR CAVALCANTE DANTAS ME ;0.04;1;382469
29/10/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  384595 FOR. VALMIR CAVALCANTE  DANTAS ME ;697.1;1;384595
29/10/2018;914;DESCONTO OBTIDO CONF. NF Nº 384595  FOR. VALMIR CAVALCANTE DANTAS ME ;0.05;1;384595
05/11/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  385518 FOR. VALMIR CAVALCANTE  DANTAS ME ;337.0;1;385518
05/11/2018;914;DESCONTO OBTIDO CONF. NF Nº 385518  FOR. VALMIR CAVALCANTE DANTAS ME ;0.03;1;385518
12/11/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  387196 FOR. VALMIR CAVALCANTE  DANTAS ME ;571.0;1;387196
12/11/2018;914;DESCONTO OBTIDO CONF. NF Nº 387196  FOR. VALMIR CAVALCANTE DANTAS ME ;0.05;1;387196
19/11/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  388515 FOR. VALMIR CAVALCANTE  DANTAS ME ;351.4;1;388515
19/11/2018;914;DESCONTO OBTIDO CONF. NF Nº 388515  FOR. VALMIR CAVALCANTE DANTAS ME ;0.03;1;388515
26/11/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  390087 FOR. VALMIR CAVALCANTE  DANTAS ME ;673.94;1;390087
03/12/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  391755 FOR. VALMIR CAVALCANTE  DANTAS ME ;521.4;1;391755
03/12/2018;914;DESCONTO OBTIDO CONF. NF Nº 391755  FOR. VALMIR CAVALCANTE DANTAS ME ;0.05;1;391755
10/12/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  392627 FOR. VALMIR CAVALCANTE  DANTAS ME ;437.1;1;392627
10/12/2018;914;DESCONTO OBTIDO CONF. NF Nº 392627  FOR. VALMIR CAVALCANTE DANTAS ME ;0.05;1;392627
11/12/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  393311 FOR. VALMIR CAVALCANTE  DANTAS ME ;212.5;1;393311
11/12/2018;914;DESCONTO OBTIDO CONF. NF Nº 393311  FOR. VALMIR CAVALCANTE DANTAS ME ;0.01;1;393311
