Data;Número;Histórico;Débito
19/10/2018;913;PAGAMENTO DE DUPLICATA REF. NF Nº  91600 FOR. VITAFLOR IND. COMERCIO  MASSAS BEIJA FLOR LTDA. ;1.348,85
23/11/2018;913;PAGAMENTO DE DUPLICATA REF. NF Nº  92655 FOR. VITAFLOR IND. COMERCIO  MASSAS BEIJA FLOR LTDA. ;1.456,88
14/12/2018;913;PAGAMENTO DE DUPLICATA REF. NF Nº  93577 FOR. VITAFLOR IND. COMERCIO  MASSAS BEIJA FLOR LTDA. ;1.091,30
11/01/2019;913;PAGAMENTO DE DUPLICATA REF. NF Nº  94333 FOR. VITAFLOR IND. COMERCIO  MASSAS BEIJA FLOR LTDA. ;871,93
22/03/2019;913;PAGAMENTO DE DUPLICATA REF. NF Nº  94890 FOR. VITAFLOR IND. COMERCIO  MASSAS BEIJA FLOR LTDA. ;1.696,31
14/06/2019;913;PAGAMENTO DE DUPLICATA REF. NF Nº  96427 FOR. JUBERTO ZACARIAS DE  VASCONCELOS EIRELI ME ;656,61
19/07/2019;913;PAGAMENTO DE DUPLICATA REF. NF Nº  97068 FOR. JUBERTO ZACARIAS DE  VASCONCELOS EIRELI ME ;1.695,28
16/08/2019;913;PAGAMENTO DE DUPLICATA REF. NF Nº  97905 FOR. JUBERTO ZACARIAS DE  VASCONCELOS EIRELI ME ;902,66
13/09/2019;913;PAGAMENTO DE DUPLICATA REF. NF Nº  98716 FOR. JUBERTO ZACARIAS DE  VASCONCELOS EIRELI ME ;1.380,92
18/10/2019;913;PAGAMENTO DE DUPLICATA REF. NF Nº  99792 FOR. JUBERTO ZACARIAS DE  VASCONCELOS EIRELI ME ;964,46
01/10/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  378913 FOR. VALMIR CAVALCANTE  DANTAS ME ;680,00
01/10/2018;914;DESCONTO OBTIDO CONF. NF Nº 378913  FOR. VALMIR CAVALCANTE DANTAS ME ;0,06
15/10/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  381075 FOR. VALMIR CAVALCANTE  DANTAS ME ;537,75
16/10/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  381717 FOR. VALMIR CAVALCANTE  DANTAS ME ;249,60
16/10/2018;914;DESCONTO OBTIDO CONF. NF Nº 381717  FOR. VALMIR CAVALCANTE DANTAS ME ;0,02
22/10/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  383040 FOR. VALMIR CAVALCANTE  DANTAS ME ;144,60
22/10/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  382469 FOR. VALMIR CAVALCANTE  DANTAS ME ;373,10
22/10/2018;914;DESCONTO OBTIDO CONF. NF Nº 382469  FOR. VALMIR CAVALCANTE DANTAS ME ;0,04
29/10/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  384595 FOR. VALMIR CAVALCANTE  DANTAS ME ;697,10
29/10/2018;914;DESCONTO OBTIDO CONF. NF Nº 384595  FOR. VALMIR CAVALCANTE DANTAS ME ;0,05
05/11/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  385518 FOR. VALMIR CAVALCANTE  DANTAS ME ;337,00
05/11/2018;914;DESCONTO OBTIDO CONF. NF Nº 385518  FOR. VALMIR CAVALCANTE DANTAS ME ;0,03
12/11/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  387196 FOR. VALMIR CAVALCANTE  DANTAS ME ;571,00
12/11/2018;914;DESCONTO OBTIDO CONF. NF Nº 387196  FOR. VALMIR CAVALCANTE DANTAS ME ;0,05
19/11/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  388515 FOR. VALMIR CAVALCANTE  DANTAS ME ;351,40
19/11/2018;914;DESCONTO OBTIDO CONF. NF Nº 388515  FOR. VALMIR CAVALCANTE DANTAS ME ;0,03
26/11/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  390087 FOR. VALMIR CAVALCANTE  DANTAS ME ;673,94
03/12/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  391755 FOR. VALMIR CAVALCANTE  DANTAS ME ;521,40
03/12/2018;914;DESCONTO OBTIDO CONF. NF Nº 391755  FOR. VALMIR CAVALCANTE DANTAS ME ;0,05
10/12/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  392627 FOR. VALMIR CAVALCANTE  DANTAS ME ;437,10
10/12/2018;914;DESCONTO OBTIDO CONF. NF Nº 392627  FOR. VALMIR CAVALCANTE DANTAS ME ;0,05
11/12/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  393311 FOR. VALMIR CAVALCANTE  DANTAS ME ;212,50
11/12/2018;914;DESCONTO OBTIDO CONF. NF Nº 393311  FOR. VALMIR CAVALCANTE DANTAS ME ;0,01
17/12/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  394616 FOR. VALMIR CAVALCANTE  DANTAS ME ;436,50
17/12/2018;914;DESCONTO OBTIDO CONF. NF Nº 394616  FOR. VALMIR CAVALCANTE DANTAS ME ;0,03
24/12/2018;914;PAGAMENTO DE DUPLICATA REF. NF Nº  395586 FOR. VALMIR CAVALCANTE  DANTAS ME ;340,03
02/01/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  396962 FOR. VALMIR CAVALCANTE  DANTAS ME ;401,90
02/01/2019;914;DESCONTO OBTIDO CONF. NF Nº 396962  FOR. VALMIR CAVALCANTE DANTAS ME ;0,04
02/01/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  397685 FOR. VALMIR CAVALCANTE  DANTAS ME ;218,20
02/01/2019;914;DESCONTO OBTIDO CONF. NF Nº 397685  FOR. VALMIR CAVALCANTE DANTAS ME ;0,02
07/01/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  398324 FOR. VALMIR CAVALCANTE  DANTAS ME ;433,80
07/01/2019;914;DESCONTO OBTIDO CONF. NF Nº 398324  FOR. VALMIR CAVALCANTE DANTAS ME ;0,04
08/01/2019;914;PAGAMENTO DE DUPLICATA REF. NF Nº  399068 FOR. VALMIR CAVALCANTE  DANTAS ME ;401,90
08/01/2019;914;DESCONTO OBTIDO CONF. NF Nº 399068  FOR. VALMIR CAVALCANTE DANTAS ME ;0,04
